-DOCSTART- -X- O
( -X- _ I-ORG
CSBT -X- _ I-ORG
) -X- _ I-ORG
nga -X- _ O
duna -X- _ O
silay -X- _ O
bag-ong -X- _ O
schedule -X- _ O
sa -X- _ O
biyahe -X- _ O
sa -X- _ O
mga -X- _ O
bus -X- _ O
alang -X- _ O
sa -X- _ O
holiday -X- _ O
season -X- _ O
ug -X- _ O
ipatuman -X- _ O
kini -X- _ O
sa -X- _ O
sunod -X- _ O
semana -X- _ O
. -X- _ O

Si -X- _ O
CSBT -X- _ B-ORG
security -X- _ O
manager -X- _ O
Joy -X- _ B-PER
Tumulak -X- _ I-PER
miingon -X- _ O
nga -X- _ O
sugod -X- _ O
sa -X- _ O
Disyembre -X- _ O
22 -X- _ O
hangtod -X- _ O
sa -X- _ O
Disyembre -X- _ O
24 -X- _ O
, -X- _ O
ala -X- _ O
1 -X- _ O
na -X- _ O
sa -X- _ O
kaadlawon -X- _ O
ang -X- _ O
labing -X- _ O
unang -X- _ O
biyahe -X- _ O
sa -X- _ O
Ceres -X- _ O
Bus -X- _ O
ug -X- _ O
alas -X- _ O
10 -X- _ O
lang -X- _ O
sa -X- _ O
gabii -X- _ O
ang -X- _ O
katapusang -X- _ O
pagbiya -X- _ O
niini -X- _ O
diha -X- _ O
sa -X- _ O
terminal -X- _ O
. -X- _ O

Sa -X- _ O
mga -X- _ O
mini-bus -X- _ O
, -X- _ O
alas -X- _ O
4 -X- _ O
sa -X- _ O
kaadlawon -X- _ O
ang -X- _ O
labing -X- _ O
unang -X- _ O
biyahe -X- _ O
ug -X- _ O
alas -X- _ O
8:00 -X- _ O
sa -X- _ O
gabii -X- _ O
ang -X- _ O
katapusan -X- _ O
sulod -X- _ O
sa -X- _ O
maong -X- _ O
mga -X- _ O
adlaw -X- _ O
. -X- _ O

Gituyo -X- _ O
sa -X- _ O
CSBT -X- _ B-ORG
management -X- _ O
ang -X- _ O
pagbutang -X- _ O
ug -X- _ O
tataw -X- _ O
nga -X- _ O
schedule -X- _ O
sa -X- _ O
mga -X- _ O
biyahe -X- _ O
aron -X- _ O
dili -X- _ O
maghuot -X- _ O
diha -X- _ O
sa -X- _ O
terminal -X- _ O
ang -X- _ O
mga -X- _ O
tawo -X- _ O
ug -X- _ O
malikayan -X- _ O
nga -X- _ O
magsalig -X- _ O
ang -X- _ O
mga -X- _ O
pasahero -X- _ O
ug -X- _ O
magpagabii -X- _ O
na -X- _ O
ug -X- _ O
maayo -X- _ O
sa -X- _ O
biyahe -X- _ O
tungod -X- _ O
sa -X- _ O
daghang -X- _ O
kasakyan -X- _ O
. -X- _ O

Sa -X- _ O
miaging -X- _ O
kalag-kalag -X- _ O
, -X- _ O
nipatuman -X- _ O
ug -X- _ O
24 -X- _ O
oras -X- _ O
nga -X- _ O
biyahe -X- _ O
sa -X- _ O
mga -X- _ O
bus -X- _ O
diha -X- _ O
sa -X- _ O
terminal -X- _ O
apan -X- _ O
matod -X- _ O
ni -X- _ O
Tumulak -X- _ B-PER
nga -X- _ O
karong -X- _ O
holiday -X- _ O
season -X- _ O
, -X- _ O
angayang -X- _ O
planuhon -X- _ O
nag -X- _ O
ta­rong -X- _ O
sa -X- _ O
mga -X- _ O
biyahedor -X- _ O
ang -X- _ O
ilang -X- _ O
oras -X- _ O
aron -X- _ O
makasakay -X- _ O
dayon -X- _ O
paingon -X- _ O
sa -X- _ O
ilang -X- _ O
destinasyon -X- _ O
. -X- _ O

Dili -X- _ O
did-an -X- _ O
sa -X- _ O
CSBT -X- _ B-ORG
management -X- _ O
ang -X- _ O
mga -X- _ O
pasahero -X- _ O
nga -X- _ O
mangatulog -X- _ O
o -X- _ O
maghuwat -X- _ O
diha -X- _ O
sa -X- _ O
terminal -X- _ O
ang -X- _ O
mga -X- _ O
pasahero -X- _ O
nga -X- _ O
dili -X- _ O
kasakay -X- _ O
sa -X- _ O
katapusang -X- _ O
biyahe -X- _ O
. -X- _ O

Giawhag -X- _ O
ni -X- _ O
Tumulak -X- _ B-PER
ang -X- _ O
publiko -X- _ O
nga -X- _ O
dili -X- _ O
moahat -X- _ O
og -X- _ O
adto -X- _ O
sa -X- _ O
terminal -X- _ O
kon -X- _ O
apiki -X- _ O
na -X- _ O
sa -X- _ O
oras -X- _ O
ug -X- _ O
dili -X- _ O
makaabot -X- _ O
sa -X- _ O
last -X- _ O
trip -X- _ O
. -X- _ O

Dugang -X- _ O
ni -X- _ O
Rubio -X- _ B-PER
nga -X- _ O
dali -X- _ O
siyang -X- _ O
nirekomendar -X- _ O
nga -X- _ O
relibuhan -X- _ O
ang -X- _ O
maong -X- _ O
JO1 -X- _ O
. -X- _ O

Duha -X- _ O
nga -X- _ O
nagtiner -X- _ O
og -X- _ O
armas -X- _ O
nga -X- _ O
walay -X- _ O
lisensya -X- _ O
sa -X- _ O
isla -X- _ O
sa -X- _ O
Camotes -X- _ B-LOC
ang -X- _ O
nasikop -X- _ O
sa -X- _ O
ronda -X- _ O
sa -X- _ O
mga -X- _ O
sakop -X- _ O
sa -X- _ O
Criminal -X- _ B-ORG
Investigation -X- _ I-ORG
and -X- _ I-ORG
Detection -X- _ I-ORG
Group -X- _ I-ORG
7 -X- _ I-ORG
. -X- _ O

Armado -X- _ O
og -X- _ O
search -X- _ O
warrants -X- _ O
, -X- _ O
ang -X- _ O
CIDG-7 -X- _ B-ORG
unang -X- _ O
nironda -X- _ O
ug -X- _ O
nasikop -X- _ O
si -X- _ O
Allan -X- _ B-PER
Otadoy -X- _ I-PER
, -X- _ O
47 -X- _ O
, -X- _ O
sa -X- _ O
Brangay -X- _ B-LOC
Cagcagan -X- _ I-LOC
, -X- _ O
Poro -X- _ B-LOC
nga -X- _ O
nakuhaan -X- _ O
og -X- _ O
kalibre -X- _ O
45 -X- _ O
ug -X- _ O
mga -X- _ O
bala -X- _ O
niini -X- _ O
. -X- _ O

Niatubang -X- _ O
sa -X- _ O
Senate -X- _ O
blue -X- _ O
ribbon -X- _ O
committee -X- _ O
nga -X- _ O
nagsusi -X- _ O
sa -X- _ O
kontrobersiyal -X- _ O
nga -X- _ O
P3.5-billion -X- _ O
program -X- _ O
, -X- _ O
si -X- _ O
Aquino -X- _ B-PER
niingong -X- _ O
nga -X- _ O
walay -X- _ O
niprotesta -X- _ O
sa -X- _ O
iyang -X- _ O
hukom -X- _ O
niadto -X- _ O
. -X- _ O

Ang -X- _ O
Cebu -X- _ B-LOC
apil -X- _ O
sa -X- _ O
gipatuman -X- _ O
ang -X- _ O
programa -X- _ O
apan -X- _ O
wala -X- _ O
gisulti -X- _ O
ni -X- _ O
Noynoy -X- _ B-PER
. -X- _ O

Si -X- _ O
Aquino -X- _ B-PER
niingon -X- _ O
nga -X- _ O
ang -X- _ O
iyang -X- _ O
administrasyon -X- _ O
nagsugod -X- _ O
sa -X- _ O
pagtutok -X- _ O
sa -X- _ O
dengue -X- _ O
human -X- _ O
nakadawat -X- _ O
og -X- _ O
'memo -X- _ O
' -X- _ O
gikan -X- _ O
ni -X- _ O
kanhi -X- _ O
Health -X- _ O
Secretary -X- _ O
Enrique -X- _ B-LOC
Ona -X- _ I-LOC
niadtong -X- _ O
2010 -X- _ O
. -X- _ O

Matod -X- _ O
niya -X- _ O
, -X- _ O
ang -X- _ O
memo -X- _ O
nagsaysay -X- _ O
nga -X- _ O
dunay -X- _ O
lima -X- _ O
ka -X- _ O
rehiyon -X- _ O
nga -X- _ O
'alarming -X- _ O
ang -X- _ O
pagtaas -X- _ O
' -X- _ O
sa -X- _ O
kaso -X- _ O
sa -X- _ O
dengue -X- _ O
. -X- _ O

Dugang -X- _ O
niya -X- _ O
nga -X- _ O
dul-an -X- _ O
sa -X- _ O
2.8 -X- _ O
milyon -X- _ O
ka -X- _ O
awo -X- _ O
ang -X- _ O
risgo -X- _ O
sa -X- _ O
naasoy -X- _ O
nga -X- _ O
sakit -X- _ O
. -X- _ O

Kon -X- _ O
walay -X- _ O
gibuhat -X- _ O
, -X- _ O
dason -X- _ O
niya -X- _ O
, -X- _ O
dako -X- _ O
usab -X- _ O
nga -X- _ O
tulubagon -X- _ O
niya -X- _ O
gikan -X- _ O
sa -X- _ O
mga -X- _ O
kritiko -X- _ O
sa -X- _ O
lahi -X- _ O
nga -X- _ O
isyu -X- _ O
. -X- _ O

Si -X- _ O
Aquino -X- _ B-PER
niangkon -X- _ O
nga -X- _ O
niadto -X- _ O
sa -X- _ O
Paris -X- _ O
sa -X- _ O
2015 -X- _ O
alang -X- _ O
sa -X- _ O
COP21 -X- _ O
conference -X- _ O
, -X- _ O
ug -X- _ O
sa -X- _ O
sidelines -X- _ O
nakigkita -X- _ O
siya -X- _ O
sa -X- _ O
nagkalainlaing -X- _ O
kompaniya -X- _ O
lakip -X- _ O
sa -X- _ O
Sanofi -X- _ O
, -X- _ O
naghimo -X- _ O
sa -X- _ O
anti-dengue -X- _ O
vaccine -X- _ O
Dengvaxia -X- _ O
. -X- _ O

Si -X- _ O
Konsehal -X- _ O
Kevin -X- _ B-PER
Sanchez -X- _ I-PER
sa -X- _ O
Busay -X- _ B-LOC
niingon -X- _ O
nga -X- _ O
drayber -X- _ O
sa -X- _ O
Bonggo -X- _ O
Elf -X- _ O
ang -X- _ O
nagrabihan -X- _ O
pagmaayo -X- _ O
tungod -X- _ O
naipit -X- _ O
kini -X- _ O
sa -X- _ O
manobela -X- _ O
. -X- _ O

Kauban -X- _ O
niini -X- _ O
ang -X- _ O
asawa -X- _ O
sa -X- _ O
drayber -X- _ O
sa -X- _ O
Bonggo -X- _ B-ORG
ug -X- _ O
ang -X- _ O
driver -X- _ O
sa -X- _ O
Nissan -X- _ B-ORG
van -X- _ O
ug -X- _ O
gidala -X- _ O
dayon -X- _ O
kini -X- _ O
sa -X- _ O
ospital -X- _ O
. -X- _ O

Apan -X- _ O
atol -X- _ O
ning -X- _ O
pagsuwat -X- _ O
, -X- _ O
wala -X- _ O
pa -X- _ O
makuha -X- _ O
ang -X- _ O
mga -X- _ O
pangalan -X- _ O
sa -X- _ O
biktima -X- _ O
human -X- _ O
gidali -X- _ O
pagdala -X- _ O
sa -X- _ O
ospital -X- _ O
. -X- _ O

Giawhag -X- _ O
ni -X- _ O
Sanchez -X- _ B-PER
ang -X- _ O
katawhan -X- _ O
nga -X- _ O
mosuroy -X- _ O
sa -X- _ O
Busay -X- _ B-LOC
nga -X- _ O
maghinayhinay -X- _ O
aron -X- _ O
sa -X- _ O
paglikay -X- _ O
sa -X- _ O
mga -X- _ O
disgrasya. -X- _ O
( -X- _ O
Mary -X- _ B-PER
Diane -X- _ I-PER
Salasayo -X- _ I-PER
, -X- _ O
USJR -X- _ O
intern -X- _ O
) -X- _ O

Ang -X- _ O
suspek -X- _ O
gi-entrap -X- _ O
niadtong -X- _ O
Martes -X- _ O
ug -X- _ O
nasikop -X- _ O
sud -X- _ O
sa -X- _ O
usa -X- _ O
ka -X- _ O
lawak -X- _ O
sa -X- _ O
usa -X- _ O
ka -X- _ O
motel -X- _ O
kauban -X- _ O
ang -X- _ O
usa -X- _ O
sa -X- _ O
mga -X- _ O
biktima -X- _ O
. -X- _ O

Si -X- _ O
Princess -X- _ B-PER
uban -X- _ O
sa -X- _ O
usa -X- _ O
ka -X- _ O
MJ -X- _ B-PER
Joran -X- _ I-PER
, -X- _ O
18 -X- _ O
, -X- _ O
taga -X- _ O
Talamban -X- _ B-LOC
, -X- _ O
dakbayan -X- _ O
sa -X- _ O
Sugbo -X- _ B-LOC
maoy -X- _ O
kontak -X- _ O
ni -X- _ O
Cue -X- _ B-PER
sa -X- _ O
pagpangita -X- _ O
og -X- _ O
mga -X- _ O
babaye -X- _ O
nga -X- _ O
dad-on -X- _ O
niini -X- _ O
sa -X- _ O
kama -X- _ O
. -X- _ O

Giingon -X- _ O
unang -X- _ O
nakombinsir -X- _ O
ni -X- _ O
Princess -X- _ B-PER
si -X- _ O
Anna -X- _ B-PER
( -X- _ O
di -X- _ O
tinuod -X- _ O
nga -X- _ O
pangan -X- _ O
) -X- _ O
nga -X- _ O
makighimamat -X- _ O
ni -X- _ O
Cue -X- _ B-PER
sanglit -X- _ O
“meet-up” -X- _ O
ra -X- _ O
ang -X- _ O
gipasalig -X- _ O
niini -X- _ O
sa -X- _ O
suspek -X- _ O
ug -X- _ O
siya -X- _ O
bayran -X- _ O
. -X- _ O

Dugang -X- _ O
ni -X- _ O
Villaro -X- _ B-PER
nga -X- _ O
gibayaran -X- _ O
ang -X- _ O
biktima -X- _ O
og -X- _ O
P3,000 -X- _ O
ni -X- _ O
Cue -X- _ B-PER
, -X- _ O
ang -X- _ O
P1,000 -X- _ O
sa -X- _ O
maong -X- _ O
ba­yad -X- _ O
komisyon -X- _ O
sa -X- _ O
mga -X- _ O
recruiter -X- _ O
. -X- _ O

Human -X- _ O
sa -X- _ O
siyam -X- _ O
ka -X- _ O
adlaw -X- _ O
, -X- _ O
ang -X- _ O
suod -X- _ O
nga -X- _ O
higala -X- _ O
ni -X- _ O
Anna -X- _ B-PER
nga -X- _ O
si -X- _ O
Nicky -X- _ B-PER
( -X- _ O
di -X- _ O
tunod -X- _ O
pangan -X- _ O
) -X- _ O
mao -X- _ O
na -X- _ O
usab -X- _ O
ang -X- _ O
nabiktima -X- _ O
nila -X- _ O
ni -X- _ O
Princess -X- _ B-PER
ug -X- _ O
Jordan -X- _ B-PER
. -X- _ O

Nisugot -X- _ O
matod -X- _ O
pa -X- _ O
nga -X- _ O
ma­kighimamat -X- _ O
ang -X- _ O
biktima -X- _ O
ni -X- _ O
Cue -X- _ B-PER
bisan -X- _ O
kini -X- _ O
giregla -X- _ O
niadtong -X- _ O
panahuna -X- _ O
. -X- _ O

Susamang -X- _ O
paagi -X- _ O
ang -X- _ O
gibuhat -X- _ O
sa -X- _ O
mga -X- _ O
recruiter -X- _ O
ang -X- _ O
gibuhat -X- _ O
nii­ni -X- _ O
ni -X- _ O
Nicky -X- _ B-PER
nga -X- _ O
maghuwat -X- _ O
lang -X- _ O
sila -X- _ O
sa -X- _ O
maong -X- _ O
mall -X- _ O
ug -X- _ O
kini -X- _ O
pick-u­pon -X- _ O
lang -X- _ O
sa -X- _ O
maong -X- _ O
langaw -X- _ O
, -X- _ O
dad-on -X- _ O
sa -X- _ O
motel -X- _ O
ug -X- _ O
bayaran -X- _ O
. -X- _ O

Niadtong -X- _ O
Disyembre -X- _ O
8 -X- _ O
, -X- _ O
sila -X- _ O
si -X- _ O
Anna -X- _ B-PER
ug -X- _ O
Nicky -X- _ B-PER
nagkahibaw-anay -X- _ O
nga -X- _ O
gitunto -X- _ O
sila -X- _ O
sa -X- _ O
ilang -X- _ O
schoolmate -X- _ O
nga -X- _ O
recruiter -X- _ O
. -X- _ O

Matod -X- _ O
ni -X- _ O
Villaro -X- _ B-PER
nga -X- _ O
kini -X- _ O
maoy -X- _ O
nakaaghat -X- _ O
sa -X- _ O
duha -X- _ O
sa -X- _ O
pagtug-an -X- _ O
sa -X- _ O
ilang -X- _ O
advi­ser -X- _ O
, -X- _ O
kinsa -X- _ O
nisulti -X- _ O
sa -X- _ O
guidance -X- _ O
counselor -X- _ O
sa -X- _ O
ilang -X- _ O
tunghaan -X- _ O
. -X- _ O

Gipatawag -X- _ O
sa -X- _ O
counselor -X- _ O
ang -X- _ O
mga -X- _ O
gikinakanan -X- _ O
sa -X- _ O
duha -X- _ O
kinsa -X- _ O
maoy -X- _ O
nangayo -X- _ O
og -X- _ O
pakitabang -X- _ O
sa -X- _ O
kapulisan -X- _ O
. -X- _ O

Niadtong -X- _ O
Lunes -X- _ O
, -X- _ O
gipanguta­na -X- _ O
sa -X- _ O
mga -X- _ O
panghitabo -X- _ O
ang -X- _ O
duha -X- _ O
ka -X- _ O
mga -X- _ O
biktima -X- _ O
sa -X- _ O
WCPD -X- _ B-ORG
. -X- _ O

Sa -X- _ O
maong -X- _ O
adlaw -X- _ O
, -X- _ O
nakadawat -X- _ O
og -X- _ O
text -X- _ O
si -X- _ O
Nicky -X- _ B-PER
gikan -X- _ O
ni -X- _ O
Cue -X- _ B-PER
nga -X- _ O
makighimamat -X- _ O
siya -X- _ O
pag-usab -X- _ O
tungod -X- _ O
kay -X- _ O
dako -X- _ O
siya -X- _ O
og -X- _ O
gusto -X- _ O
niini -X- _ O
, -X- _ O
sigun -X- _ O
ni -X- _ O
Villaro -X- _ B-PER
. -X- _ O

Tuod -X- _ O
man -X- _ O
, -X- _ O
inubanan -X- _ O
sa -X- _ O
kapulisan -X- _ O
, -X- _ O
nisugot -X- _ O
ang -X- _ O
biktima -X- _ O
nga -X- _ O
makighimamat -X- _ O
kini -X- _ O
ug -X- _ O
didto -X- _ O
na-entrrap -X- _ O
sud -X- _ O
sa -X- _ O
motel -X- _ O
sa -X- _ O
dakbayan -X- _ O
ug -X- _ O
nasikop -X- _ O
si -X- _ O
Cue -X- _ B-PER
. -X- _ O

Sila -X- _ O
si -X- _ O
Princess -X- _ B-PER
ug -X- _ O
Jordan -X- _ B-PER
padayon -X- _ O
pa -X- _ O
nga -X- _ O
gipangita -X- _ O
sa -X- _ O
kapulisan -X- _ O
. -X- _ O

Usa -X- _ O
ka -X- _ O
tuig -X- _ O
human -X- _ O
gipirmahan -X- _ O
ang -X- _ O
kasabutan -X- _ O
tali -X- _ O
sa -X- _ O
Dakbayan -X- _ O
ug -X- _ O
Probinsiya -X- _ O
sa -X- _ O
Sugbo -X- _ B-LOC
kabahin -X- _ O
sa -X- _ O
93-1 -X- _ O
nga -X- _ O
luna -X- _ O
, -X- _ O
nangutana -X- _ O
karon -X- _ O
ang -X- _ O
konsehal -X- _ O
ubos -X- _ O
sa -X- _ O
Team -X- _ O
Rama -X- _ O
kon -X- _ O
unsa -X- _ O
na -X- _ O
ang -X- _ O
kalambuan -X- _ O
niini -X- _ O
? -X- _ O

Si -X- _ O
Konsehal -X- _ O
Joel -X- _ B-PER
Garganera -X- _ I-PER
nagkanayon -X- _ O
nga -X- _ O
suportado -X- _ O
sila -X- _ O
sa -X- _ O
93-1 -X- _ O
, -X- _ O
apan -X- _ O
nakapangutana -X- _ O
siya -X- _ O
kon -X- _ O
unsa -X- _ O
na -X- _ O
ang -X- _ O
kalambuan -X- _ O
niini -X- _ O
? -X- _ O

Dugang -X- _ O
ni -X- _ O
Garganera -X- _ B-PER
nga -X- _ O
basin -X- _ O
og -X- _ O
buhion -X- _ O
ra -X- _ O
ni -X- _ O
Osmeña -X- _ B-PER
ang -X- _ O
isyu -X- _ O
sa -X- _ O
93-1 -X- _ O
pipila -X- _ O
ka -X- _ O
buwan -X- _ O
sa -X- _ O
di -X- _ O
pa -X- _ O
ang -X- _ O
piniliay -X- _ O
ug -X- _ O
himuon -X- _ O
kini -X- _ O
nga -X- _ O
pamaagi -X- _ O
aron -X- _ O
makahakot -X- _ O
og -X- _ O
boto -X- _ O
. -X- _ O

Mao -X- _ O
usab -X- _ O
ang -X- _ O
pangutana -X- _ O
ni -X- _ O
Konsehal -X- _ O
Raymond -X- _ B-PER
Garcia -X- _ I-PER
. -X- _ O

Dugang -X- _ O
sa -X- _ O
konsehal -X- _ O
nga -X- _ O
niadtong -X- _ O
kampanya -X- _ O
sa -X- _ O
pini­liay -X- _ O
pa -X- _ O
kini -X- _ O
nga -X- _ O
gipasalig -X- _ O
sa -X- _ O
mayor -X- _ O
diin -X- _ O
kaniadto -X- _ O
niingon -X- _ O
nga -X- _ O
sulod -X- _ O
sa -X- _ O
unom -X- _ O
ka -X- _ O
buwan -X- _ O
lang -X- _ O
kini -X- _ O
nga -X- _ O
sulbaron -X- _ O
apan -X- _ O
kutob -X- _ O
ra -X- _ O
diay -X- _ O
sa -X- _ O
MOA -X- _ O
signing -X- _ O
. -X- _ O

Gibutyag -X- _ O
usab -X- _ O
niini -X- _ O
nga -X- _ O
usa -X- _ O
ning -X- _ O
pag-andam -X- _ O
sa -X- _ O
dokumento -X- _ O
sa -X- _ O
appraisal -X- _ O
alang -X- _ O
sa -X- _ O
mga -X- _ O
luna -X- _ O
sa -X- _ O
Dakbayan -X- _ O
ug -X- _ O
Probinsiya -X- _ O
nga -X- _ O
nakadugay -X- _ O
. -X- _ O

Gusto -X- _ O
sa -X- _ O
duha -X- _ O
ka -X- _ O
local -X- _ O
government -X- _ O
unit -X- _ O
( -X- _ O
LGU -X- _ O
) -X- _ O
nga -X- _ O
di -X- _ O
ma -X- _ O
disallow -X- _ O
sa -X- _ O
COA -X- _ B-ORG
ang -X- _ O
ilang -X- _ O
himuong -X- _ O
pagbaylo -X- _ O
sa -X- _ O
luna -X- _ O
. -X- _ O

Dugang -X- _ O
niini -X- _ O
nga -X- _ O
basin -X- _ O
sa -X- _ O
Enero -X- _ O
sila -X- _ O
makakuha -X- _ O
sa -X- _ O
approval -X- _ O
gikan -X- _ O
sa -X- _ O
COA -X- _ B-ORG
apan -X- _ O
kon -X- _ O
madugay -X- _ O
pa -X- _ O
gyud -X- _ O
kini -X- _ O
, -X- _ O
mangita -X- _ O
sila -X- _ O
og -X- _ O
laing -X- _ O
legal -X- _ O
nga -X- _ O
pamaagi -X- _ O
aron -X- _ O
mas -X- _ O
madali -X- _ O
ang -X- _ O
pagbaylo -X- _ O
na -X- _ O
sa -X- _ O
luna -X- _ O
. -X- _ O

Si -X- _ O
Osmeña -X- _ B-PER
nagkanayon -X- _ O
nga -X- _ O
di -X- _ O
siya -X- _ O
pabor -X- _ O
sa -X- _ O
anunsyo -X- _ O
sa -X- _ O
LTFRB -X- _ B-ORG
nga -X- _ O
ideklarar -X- _ O
nga -X- _ O
ilegal -X- _ O
ang -X- _ O
Angkas -X- _ B-ORG
. -X- _ O

Ang -X- _ O
mayor -X- _ O
nihatag -X- _ O
og -X- _ O
suporta -X- _ O
sa -X- _ O
mga -X- _ O
driver -X- _ O
sa -X- _ O
maong -X- _ O
app -X- _ O
kay -X- _ O
nakita -X- _ O
niya -X- _ O
nga -X- _ O
kini -X- _ O
sa -X- _ O
nakahatag -X- _ O
og -X- _ O
kaayuhan -X- _ O
sa -X- _ O
katawhan -X- _ O
labi -X- _ O
na -X- _ O
kadtong -X- _ O
way -X- _ O
kaugalingong -X- _ O
sakyanan -X- _ O
. -X- _ O

Gibutyag -X- _ O
sab -X- _ O
niya -X- _ O
sa -X- _ O
iyang -X- _ O
Facebook -X- _ B-LOC
post -X- _ O
nga -X- _ O
ang -X- _ O
iyang -X- _ O
pagkontra -X- _ O
sa -X- _ O
LTFRB -X- _ B-ORG
di -X- _ O
ra -X- _ O
para -X- _ O
sa -X- _ O
Angkas -X- _ B-ORG
lang -X- _ O
, -X- _ O
apan -X- _ O
alang -X- _ O
sa -X- _ O
mga -X- _ O
trabahante -X- _ O
, -X- _ O
empleyado -X- _ O
, -X- _ O
ug -X- _ O
mga -X- _ O
estudyante -X- _ O
nga -X- _ O
mas -X- _ O
mahatagan -X- _ O
og -X- _ O
maayong -X- _ O
serbisyo -X- _ O
sa -X- _ O
Angkas -X- _ B-ORG
. -X- _ O

Sumala -X- _ O
pa -X- _ O
sa -X- _ O
mayor -X- _ O
nga -X- _ O
mas -X- _ O
layo -X- _ O
sa -X- _ O
aksidente -X- _ O
ang -X- _ O
mga -X- _ O
driver -X- _ O
sa -X- _ O
Angkas -X- _ B-ORG
tungod -X- _ O
kay -X- _ O
sila -X- _ O
gibansay -X- _ O
ug -X- _ O
way -X- _ O
mga -X- _ O
pagpangabuso -X- _ O
sa -X- _ O
pagpliti -X- _ O
. -X- _ O

Ang -X- _ O
oras -X- _ O
ug -X- _ O
kahuot -X- _ O
sa -X- _ O
trapiko -X- _ O
ang -X- _ O
usa -X- _ O
sa -X- _ O
mga -X- _ O
problema -X- _ O
sa -X- _ O
publiko -X- _ O
apan -X- _ O
ang -X- _ O
Angkas -X- _ B-ORG
ang -X- _ O
nakitang -X- _ O
solusyon -X- _ O
ni -X- _ O
Osmeña -X- _ B-PER
nga -X- _ O
mas -X- _ O
epektibo -X- _ O
batok -X- _ O
sa -X- _ O
trapiko -X- _ O
sa -X- _ O
Sugbo -X- _ B-LOC
. -X- _ O

Gitandi -X- _ O
ni -X- _ O
Osmeña -X- _ B-PER
ang -X- _ O
normal -X- _ O
nga -X- _ O
mga -X- _ O
habalhabal -X- _ O
dri­ver -X- _ O
nga -X- _ O
nag-iyahay -X- _ O
og -X- _ O
babag -X- _ O
sa -X- _ O
mga -X- _ O
interseksyon -X- _ O
sa -X- _ O
kalsada -X- _ O
kay -X- _ O
tungod -X- _ O
maghuwat -X- _ O
og -X- _ O
pasahero -X- _ O
. -X- _ O

Apan -X- _ O
sa -X- _ O
Angkas -X- _ B-ORG
, -X- _ O
kinahanglan -X- _ O
ka -X- _ O
lamang -X- _ O
nga -X- _ O
motawag -X- _ O
ug -X- _ O
sila -X- _ O
moanha -X- _ O
na -X- _ O
diritso -X- _ O
ug -X- _ O
di -X- _ O
na -X- _ O
motambay -X- _ O
sa -X- _ O
mga -X- _ O
eskina -X- _ O
nga -X- _ O
makapahuot -X- _ O
sa -X- _ O
karsada -X- _ O
. -X- _ O

Si -X- _ O
Osmeña -X- _ B-PER
niingon -X- _ O
nga -X- _ O
ang -X- _ O
Angkas -X- _ O
naghatag -X- _ O
og -X- _ O
maayong -X- _ O
serbisyo -X- _ O
sa -X- _ O
mga -X- _ O
empleyado -X- _ O
ug -X- _ O
estudyante -X- _ O
nga -X- _ O
ganahang -X- _ O
di -X- _ O
ma -X- _ O
late -X- _ O
sa -X- _ O
ilahang -X- _ O
gitrabahoan -X- _ O
o -X- _ O
gieskuylahan -X- _ O
. -X- _ O

Gitataw -X- _ O
sab -X- _ O
sa -X- _ O
mayor -X- _ O
ngadto -X- _ O
sa -X- _ O
hearing -X- _ O
nga -X- _ O
ang -X- _ O
balaod -X- _ O
moserbisyo -X- _ O
sa -X- _ O
katawhan -X- _ O
, -X- _ O
di -X- _ O
ang -X- _ O
katawhan -X- _ O
ang -X- _ O
moserbisyo -X- _ O
sa -X- _ O
balay -X- _ O
. -X- _ O

Apan -X- _ O
matod -X- _ O
pa -X- _ O
sab -X- _ O
sa -X- _ O
LTFRB -X- _ B-ORG
, -X- _ O
ang -X- _ O
Angkas -X- _ B-ORG
nagsundog -X- _ O
sa -X- _ O
Uber -X- _ B-ORG
ug -X- _ O
Grab -X- _ B-ORG
. -X- _ O

Si -X- _ O
Osmeña -X- _ B-PER
nagplano -X- _ O
sa -X- _ O
paggamit -X- _ O
sa -X- _ O
Angkas -X- _ B-ORG
isip -X- _ O
modelo -X- _ O
sa -X- _ O
serbisyong -X- _ O
pampubliko -X- _ O
ga­mit -X- _ O
ang -X- _ O
motorsiklo -X- _ O
taliwa -X- _ O
sa -X- _ O
iyang -X- _ O
nakitang -X- _ O
panginahanglan -X- _ O
niini -X- _ O
. -X- _ O

Ang -X- _ O
pamahayag -X- _ O
ni -X- _ O
Osmeña -X- _ B-PER
subay -X- _ O
kini -X- _ O
sa -X- _ O
desisyon -X- _ O
sa -X- _ O
DOJ -X- _ B-ORG
human -X- _ O
gibasura -X- _ O
ang -X- _ O
kaso -X- _ O
nga -X- _ O
gipasaka -X- _ O
niini -X- _ O
batok -X- _ O
sa -X- _ O
duha -X- _ O
ka -X- _ O
branch -X- _ O
sa -X- _ O
BDO -X- _ B-ORG
Unibank -X- _ O
sa -X- _ O
kakuwang -X- _ O
sa -X- _ O
ebidensiya -X- _ O
ug -X- _ O
probable -X- _ O
cause -X- _ O
. -X- _ O

Sa -X- _ O
pakighinabi -X- _ O
ni -X- _ O
Osmeña -X- _ B-PER
sa -X- _ O
SunStar -X- _ B-ORG
Cebu -X- _ I-ORG
nagkanayon -X- _ O
kini -X- _ O
