-DOCSTART- -X- O
kaau -X- _ O
ma -X- _ O
alahig -X- _ O
sa -X- _ O
atung -X- _ O
ka -X- _ O
dangag. -X- _ O
Let -X- _ O
's -X- _ O
not -X- _ O
be -X- _ O
selfish -X- _ O
pod -X- _ O
be -X- _ O
proper -X- _ O
in -X- _ O
driving -X- _ O
andn -X- _ O
have -X- _ O
ethics -X- _ O
as -X- _ O
well. -X- _ O
Hi -X- _ O
sir -X- _ O
, -X- _ O
naa -X- _ O
lang -X- _ O
mi -X- _ O
concern -X- _ O
anang -X- _ O
sa -X- _ O
west -X- _ B-LOC
elem -X- _ I-LOC
school. -X- _ I-LOC
Lisod -X- _ O
kaayo -X- _ O
ang -X- _ O
traffic -X- _ O
dirang -X- _ O
dapita -X- _ O
samot -X- _ O
nag -X- _ O
naka -X- _ O
4wheels -X- _ O
kay -X- _ O
maglisod -X- _ O
mig -X- _ O
pangita -X- _ O
parkinganan -X- _ O
, -X- _ O
maong -X- _ O
magsayo. -X- _ O
Unsaon -X- _ O
man -X- _ O
namo -X- _ O
pagpwesto -X- _ O
tarong -X- _ O
kung -X- _ O
ang -X- _ O
uban -X- _ O
mismo -X- _ O
dili -X- _ O
kabalo -X- _ O
mupark. -X- _ O
Mao -X- _ O
pay -X- _ O
galeft -X- _ O
and -X- _ O
right -X- _ O
na -X- _ O
nang -X- _ O
parking -X- _ O
dira -X- _ O
. -X- _ O

Silliman -X- _ B-LOC
University -X- _ I-LOC
is -X- _ O
a -X- _ O
car -X- _ O
priority -X- _ O
school -X- _ O
leaving -X- _ O
people -X- _ O
to -X- _ O
walk -X- _ O
on -X- _ O
the -X- _ O
road -X- _ O
way -X- _ O
rather -X- _ O
than -X- _ O
on -X- _ O
a -X- _ O
sidewalk. -X- _ O
( -X- _ O
sana -X- _ O
all -X- _ O
tanang -X- _ O
studente -X- _ O
maka -X- _ O
car -X- _ O
) -X- _ O
Kailangan -X- _ O
najud -X- _ O
e -X- _ O
regulate -X- _ O
ang -X- _ O
mga -X- _ O
sakyanan -X- _ O
dire -X- _ O
sa -X- _ O
Dumaguete -X- _ B-LOC
city. -X- _ I-LOC
Coding -X- _ O
should -X- _ O
be -X- _ O
introduced -X- _ O
and -X- _ O
enhanced -X- _ O
traffic -X- _ O
management -X- _ O
should -X- _ O
be -X- _ O
applied -X- _ O
. -X- _ O

Hello -X- _ O
maam -X- _ O
sirs -X- _ O
naglakw -X- _ O
rakos -X- _ O
boulevard -X- _ B-LOC
the -X- _ O
other -X- _ O
day. -X- _ O
Dle -X- _ O
jud -X- _ O
ing.ana -X- _ O
ka -X- _ O
layu -X- _ O
ang -X- _ O
basurahan -X- _ O
as -X- _ O
in -X- _ O
ang -X- _ O
mga -X- _ O
tawo -X- _ O
dire -X- _ O
kay -X- _ O
nagka -X- _ O
tapulan -X- _ O
ug -X- _ O
nagka -X- _ O
hugawan -X- _ O
. -X- _ O

Naka -X- _ O
bisita -X- _ O
naba -X- _ O
tanan -X- _ O
sa -X- _ O
Lakeside -X- _ B-LOC
Pantawan -X- _ I-LOC
located -X- _ O
near -X- _ O
the -X- _ O
boulevard -X- _ B-LOC
? -X- _ O
Nindot -X- _ O
og -X- _ O
biew -X- _ O
, -X- _ O
" -X- _ O
i -X- _ O
like -X- _ O
da -X- _ O
biew -X- _ O
" -X- _ O

" -X- _ O
Wla -X- _ O
na -X- _ O
ba -X- _ O
gyud -X- _ O
control -X- _ O
ang -X- _ O
city -X- _ O
ani -X- _ O
mga -X- _ O
badjao -X- _ B-MISC
bali -X- _ O
nman -X- _ O
gyud -X- _ O
dghana -X- _ O
kaau -X- _ O
... -X- _ O
ang -X- _ O
ila -X- _ O
mga -X- _ O
hugaw -X- _ O
og -X- _ O
basura -X- _ O
ipangbilin -X- _ O
ra -X- _ O
sa -X- _ O
mga -X- _ O
kilid2x -X- _ O
... -X- _ O
ang -X- _ O
mga -X- _ O
stablishment -X- _ O
mao -X- _ O
ang -X- _ O
manglimpyo -X- _ O
maayo -X- _ O
ba -X- _ O
? -X- _ O
? -X- _ O
? -X- _ O
basin -X- _ O
matagaan -X- _ O
og -X- _ O
pgtagad -X- _ O
sir.. -X- _ O
" -X- _ O

" -X- _ O
hi -X- _ O
admin -X- _ O
excempted -X- _ O
diay -X- _ O
nang -X- _ O
police -X- _ O
motorbike -X- _ O
mu -X- _ O
agi -X- _ O
sa -X- _ O
sidewalk -X- _ O
? -X- _ O
Mismo -X- _ O
sila -X- _ O
above -X- _ O
the -X- _ O
law -X- _ O
pod -X- _ O
diay -X- _ O
? -X- _ O
I -X- _ O
happened -X- _ O
to -X- _ O
see -X- _ O
one -X- _ O
the -X- _ O
other -X- _ O
day -X- _ O
while -X- _ O
driving -X- _ O
sa -X- _ O
Saint -X- _ B-LOC
Paul -X- _ I-LOC
area. -X- _ O
" -X- _ O
Kung -X- _ O
ang -X- _ O
police -X- _ O
magpa -X- _ O
buyag -X- _ O
Kinsa -X- _ O
may -X- _ O
mu -X- _ O
buyag -X- _ O
pod -X- _ O
nila -X- _ O
? -X- _ O

Atay -X- _ O
maam -X- _ O
/ -X- _ O
sir -X- _ O
tunga -X- _ O
sa -X- _ O
dalan -X- _ O
ga -X- _ O
parking. -X- _ O
Klaro -X- _ O
naman -X- _ O
kaayu -X- _ O
ning -X- _ O
no -X- _ O
parking -X- _ O
sign -X- _ O
sa -X- _ O
iyang -X- _ O
likod. -X- _ O
4wheel -X- _ O
kamote -X- _ O
driver -X- _ O
jud -X- _ O
ni -X- _ O
nga -X- _ O
driver -X- _ O
? -X- _ O
? -X- _ O
wala -X- _ O
bay -X- _ O
tow -X- _ O
truck -X- _ O
dire -X- _ O
dumaguete -X- _ B-LOC
bali -X- _ O
jung -X- _ O
traffika -X- _ O
tungud -X- _ O
ani -X- _ O
niya -X- _ O
? -X- _ O
? -X- _ O

Kaya -X- _ O
baya -X- _ O
buhaton -X- _ O
nis -X- _ O
Dumaguete -X- _ B-LOC
samot -X- _ O
panang -X- _ O
mga -X- _ O
4 -X- _ O
wheels -X- _ O
nga -X- _ O
balabag -X- _ O
kaau -X- _ O
mag -X- _ O
parking -X- _ O
. -X- _ O

LOOK -X- _ O
: -X- _ O
Nakita -X- _ O
sa -X- _ O
duha -X- _ O
ka -X- _ O
mga -X- _ O
hiker -X- _ O
ang -X- _ O
Visayan -X- _ B-MISC
leopard -X- _ I-MISC
cat -X- _ I-MISC
, -X- _ O
nga -X- _ O
lokal -X- _ O
nga -X- _ O
nailhan -X- _ O
isip -X- _ O
" -X- _ O
Maral -X- _ B-MISC
, -X- _ O
" -X- _ O
sa -X- _ O
Mt. -X- _ B-LOC
Talinis -X- _ I-LOC
sa -X- _ O
Negros -X- _ B-LOC
Oriental -X- _ I-LOC
niadtong -X- _ O
Jan. -X- _ O
2 -X- _ O
, -X- _ O
2023.Usa -X- _ O
sa -X- _ O
mga -X- _ O
hikers -X- _ O
, -X- _ O
Jovy -X- _ B-PER
Tuting -X- _ I-PER
, -X- _ O
ang -X- _ O
nikuha -X- _ O
og -X- _ O
litrato -X- _ O
sa -X- _ O
samaran -X- _ O
daw -X- _ O
nga -X- _ O
Maral -X- _ B-MISC
nga -X- _ O
nagtago -X- _ O
sa -X- _ O
mga -X- _ O
dahon -X- _ O
diin -X- _ O
sila -X- _ O
niagi. -X- _ O
Ang -X- _ O
maong -X- _ O
'specie -X- _ O
' -X- _ O
, -X- _ O
usa -X- _ O
ka -X- _ O
lumad -X- _ O
sa -X- _ O
isla -X- _ O
sa -X- _ O
Negros -X- _ B-LOC
, -X- _ I-LOC
Cebu -X- _ I-LOC
, -X- _ O
ug -X- _ O
Panay. -X- _ B-LOC
Jovy -X- _ O
Tuting -X- _ O
via -X- _ O
The -X- _ O
Philippine -X- _ O
Star -X- _ O

# -X- _ O
Dumashares -X- _ O
Admin -X- _ O
maaung -X- _ O
buntag -X- _ O
while -X- _ O
driving -X- _ O
along -X- _ O
going -X- _ O
to -X- _ O
Bantayan -X- _ B-LOC
naka -X- _ O
sunud -X- _ O
napod -X- _ O
kog -X- _ O
cement -X- _ O
truck -X- _ O
nga -X- _ O
nag -X- _ O
pa -X- _ O
awas -X- _ O
sa -X- _ O
ilang -X- _ O
mga -X- _ O
karga -X- _ O
sa -X- _ O
dalan. -X- _ O
Diba -X- _ O
mau -X- _ O
maning -X- _ O
mga -X- _ O
cause -X- _ O
mag -X- _ O
deform -X- _ O
ang -X- _ O
mga -X- _ O
dalan -X- _ O
sa -X- _ O
Dumaguete -X- _ B-LOC
adding -X- _ O
nga -X- _ O
nay -X- _ O
mga -X- _ O
daghang -X- _ O
pebbles -X- _ O
pajud -X- _ O
nga -X- _ O
maka -X- _ O
slide -X- _ O
ug -X- _ O
mga -X- _ O
motorista. -X- _ O
Dile -X- _ O
jud -X- _ O
ni -X- _ O
ma -X- _ O
buyag -X- _ O
sa -X- _ O
atung -X- _ O
LGU -X- _ B-ORG
sa -X- _ O
Dumaguete -X- _ B-LOC
aning -X- _ O
mga -X- _ O
construction -X- _ O
company -X- _ O
? -X- _ O

Kana -X- _ O
bang -X- _ O
fixer -X- _ O
raka -X- _ O
taman -X- _ O
nya -X- _ O
mura -X- _ O
pod -X- _ O
kag -X- _ O
sweto -X- _ O
kay -X- _ O
nas -X- _ O
googel -X- _ B-ORG

Kita -X- _ O
namog -X- _ O
consehal -X- _ O
sa -X- _ O
Dumaguete -X- _ B-LOC
city -X- _ I-LOC
mu -X- _ O
sakay -X- _ O
ug -X- _ O
pedicab -X- _ O
? -X- _ O

Admin -X- _ O
look -X- _ O
new -X- _ O
yellow -X- _ O
lines -X- _ O
now -X- _ O
called -X- _ O
double -X- _ O
black -X- _ O
lanes -X- _ O
Nag -X- _ O
butang -X- _ O
sila -X- _ O
sa -X- _ O
hayag -X- _ O
nya -X- _ O
traffic -X- _ O
kaau -X- _ O
walay -X- _ O
chance -X- _ O
mu -X- _ O
permanent -X- _ O
dry -X- _ O
ang -X- _ O
paint -X- _ O
, -X- _ O
nya -X- _ O
balo -X- _ O
baya -X- _ O
kas -X- _ O
Dumaguete -X- _ B-LOC
drivers -X- _ O
nga -X- _ O
walay -X- _ O
na -X- _ O
hibal.an -X- _ O
na -X- _ O
balaod -X- _ O
sa -X- _ O
pag -X- _ O
drive. -X- _ O
Pa -X- _ O
share -X- _ O
lang -X- _ O
admin -X- _ O
para -X- _ O
awareness -X- _ O

Maayong -X- _ O
Adlaw -X- _ O
sa -X- _ O
tanan -X- _ O
! -X- _ O
! -X- _ O
! -X- _ O
Kung -X- _ O
kinsa -X- _ O
man -X- _ O
ang -X- _ O
nakita -X- _ O
ingon -X- _ O
ani -X- _ O
nga -X- _ O
envelope -X- _ O
, -X- _ O
nisakay -X- _ O
kog -X- _ O
easy -X- _ O
ride -X- _ O
color -X- _ O
red -X- _ O
sa -X- _ O
crossing -X- _ O
sa -X- _ O
Maslog -X- _ B-LOC
going -X- _ O
to -X- _ O
Dumaguete -X- _ B-LOC
possible -X- _ O
nahulog -X- _ O
atbang -X- _ O
sa -X- _ O
People -X- _ B-LOC
's -X- _ I-LOC
Choice -X- _ I-LOC
Pharmacy -X- _ I-LOC
atbang -X- _ O
tiyangge -X- _ O
sa -X- _ O
Dumaguete -X- _ B-LOC
o -X- _ O
kay -X- _ O
ddto -X- _ O
man -X- _ O
ko -X- _ O
nanaog -X- _ O
naa -X- _ O
or -X- _ O
paingon -X- _ O
sa -X- _ O
COSCA -X- _ B-LOC
kay -X- _ O
dha -X- _ O
pod -X- _ O
ko -X- _ O
ni -X- _ O
agi -X- _ O
to -X- _ O
syay -X- _ O
sulod -X- _ O
nga -X- _ O
importante -X- _ O
nga -X- _ O
documents. -X- _ O
Palihug -X- _ O
kog -X- _ O
contact -X- _ O
lang -X- _ O
ani -X- _ O
nga -X- _ O
number -X- _ O
09519707420 -X- _ O
or -X- _ O
09540692670. -X- _ O
Mo -X- _ O
hatag -X- _ O
lang -X- _ O
kog -X- _ O
pahalipay -X- _ O
sa -X- _ O
makabalik -X- _ O
ato. -X- _ O
Daghang -X- _ O
Salamat -X- _ O
ug -X- _ O
God -X- _ O
bless -X- _ O

# -X- _ O
SurveytimePara -X- _ O
ninyo -X- _ O
asa -X- _ O
man -X- _ O
mapalit -X- _ O
ang -X- _ O
pinakalami -X- _ O
na -X- _ O
siopao -X- _ O
sa -X- _ O
Dumaguete -X- _ B-LOC
? -X- _ O
I.comment -X- _ O
na -X- _ O
mga -X- _ O
badi -X- _ O
! -X- _ O

Murag -X- _ O
ubay -X- _ O
ubay -X- _ O
nanis -X- _ O
atua. -X- _ O
Pa -X- _ O
kusug -X- _ O
ug -X- _ O
drive -X- _ O
nya -X- _ O
maka -X- _ O
dasmag -X- _ O
ug -X- _ O
laing -X- _ O
motorista -X- _ O
. -X- _ O

Bagay -X- _ O
nis -X- _ O
Dumaguete -X- _ B-LOC
kay -X- _ O
baling -X- _ O
daghanang -X- _ O
iro. -X- _ O
Dako -X- _ O
kaau -X- _ O
tag -X- _ O
bayad -X- _ O
sa -X- _ O
hospital -X- _ O
kay -X- _ O
naka -X- _ O
ligid -X- _ O
tag -X- _ O
iro -X- _ O
and -X- _ O
until -X- _ O
now -X- _ O
it -X- _ O
's -X- _ O
still -X- _ O
a -X- _ O
growing -X- _ O
problem -X- _ O
para -X- _ O
sa -X- _ O
mga -X- _ O
motorist. -X- _ O
No -X- _ O
hate -X- _ O
towards -X- _ O
dogs -X- _ O
but -X- _ O
daghang -X- _ O
iro -X- _ O
nga -X- _ O
walay -X- _ O
tag -X- _ O
iya. -X- _ O
Mga -X- _ O
gangsta -X- _ O
dogs -X- _ O
. -X- _ O

Kusug -X- _ O
raba -X- _ O
kaau -X- _ O
maningil -X- _ O
ning -X- _ O
BIR -X- _ B-ORG
. -X- _ O

Pila -X- _ O
kahay -X- _ O
timbang -X- _ O
anang -X- _ O
no -X- _ O
parking -X- _ O
sign -X- _ O
? -X- _ O
Murag -X- _ O
useless -X- _ O
decoration -X- _ O
raman -X- _ O
na -X- _ O
dire -X- _ O
sa -X- _ O
Dumaguete. -X- _ B-LOC
Balabag -X- _ O
pas -X- _ O
mga -X- _ O
parkingan -X- _ O
gud -X- _ O
samot -X- _ O
patung -X- _ O
gi -X- _ O
butang -X- _ O
sa -X- _ O
escaño -X- _ B-LOC
dapit -X- _ O
nga -X- _ O
atbang -X- _ O
kaau -X- _ O
sa -X- _ O
dagat -X- _ O
ug -X- _ O
ni -X- _ O
taya -X- _ O
nalang. -X- _ O
( -X- _ O
pagka -X- _ O
bright -X- _ O
jud -X- _ O
) -X- _ O

One -X- _ O
thing -X- _ O
about -X- _ O
Dumaguete -X- _ B-LOC
city -X- _ I-LOC
kay -X- _ O
bisag -X- _ O
unsa -X- _ O
kadugay -X- _ O
mu -X- _ O
parking -X- _ O
sa -X- _ O
parke -X- _ O
bahalag -X- _ O
bahu -X- _ O
ug -X- _ O
ihi -X- _ O
ug -X- _ O
tae -X- _ O
dihang -X- _ O
dapita -X- _ O
dile -X- _ O
rajud -X- _ O
hilabtan -X- _ O
imung -X- _ O
sakyanan. -X- _ O
It -X- _ O
's -X- _ O
a -X- _ O
safe -X- _ O
city -X- _ O
jud -X- _ O
! -X- _ O
Naa -X- _ O
pay -X- _ O
warning -X- _ O
cone -X- _ O
sa -X- _ O
sulod -X- _ O
to -X- _ O
warn -X- _ O
others -X- _ O
, -X- _ O
very -X- _ O
thoughtful -X- _ O
. -X- _ O

Tax -X- _ O
payer -X- _ O
ka -X- _ O
but -X- _ O
ikaw -X- _ O
ray -X- _ O
gipa -X- _ O
lisod. -X- _ O
Asa -X- _ O
daw -X- _ O
pwede -X- _ O
ma -X- _ O
report -X- _ O
? -X- _ O

Para -X- _ O
sa -X- _ O
awareness -X- _ O
sa -X- _ O
tanan -X- _ O
regarding -X- _ O
sa -X- _ O
BIR -X- _ B-ORG
. -X- _ O

Unsay -X- _ O
pulos -X- _ O
mu -X- _ O
sunud -X- _ O
ug -X- _ O
systemang -X- _ O
binutchuk -X- _ O
? -X- _ O
Ikaw -X- _ O
pay -X- _ O
ga -X- _ O
bayad -X- _ O
ikaw -X- _ O
pay -X- _ O
magka -X- _ O
lisod -X- _ O
? -X- _ O
Ikaw -X- _ O
ga -X- _ O
sweldo -X- _ O
sa -X- _ O
gobyerno -X- _ O
ikaw -X- _ O
ang -X- _ O
mag -X- _ O
kalisod -X- _ O
? -X- _ O
Okey -X- _ O
ramo -X- _ O
ing.ani -X- _ O
sige -X- _ O
ang -X- _ O
systema -X- _ O
sa -X- _ O
Dumaguete -X- _ B-ORG
BIR -X- _ I-ORG
? -X- _ O
Lantawa -X- _ O
: -X- _ O
Daw -X- _ O
bag-o -X- _ O
nga -X- _ O
Campsite -X- _ O
ang -X- _ O
usa -X- _ O
ka -X- _ O
Opisina -X- _ O
sa -X- _ O
Goberyno -X- _ O
sa -X- _ O
Dakbayan -X- _ O
diin -X- _ O
makita -X- _ O
ang -X- _ O
mga -X- _ O
clienti -X- _ O
ani -X- _ O
nga -X- _ O
naghigda -X- _ O
ug -X- _ O
nagtapok -X- _ O
gawas -X- _ O
sa -X- _ O
opisina -X- _ O
adlaw -X- _ O
nga -X- _ O
Domingo -X- _ O
alas -X- _ O
11 -X- _ O
sa -X- _ O
gabie -X- _ O
para -X- _ O
sa -X- _ O
ilang -X- _ O
transaction -X- _ O
nga -X- _ O
8am.Apan -X- _ O
Lamok -X- _ O
ug -X- _ O
katugnaw -X- _ O
ang -X- _ O
dangatan -X- _ O
sa -X- _ O
mga -X- _ O
Cliente -X- _ O
kay -X- _ O
tungod -X- _ O
walay -X- _ O
nindot -X- _ O
nga -X- _ O
view -X- _ O
aning -X- _ O
dapita -X- _ O
ug -X- _ O
daplin -X- _ O
kini -X- _ O
sa -X- _ O
dalan -X- _ O
ang -X- _ O
katulgan -X- _ O
. -X- _ O

Lisod -X- _ O
jud -X- _ O
kung -X- _ O
ang -X- _ O
dakpon -X- _ O
taman -X- _ O
ras -X- _ O
bike -X- _ O
ug -X- _ O
motor. -X- _ O
kaning -X- _ O
mga -X- _ O
4wheels -X- _ O
entitled -X- _ O
kaau -X- _ O
mu -X- _ O
parking -X- _ O
sa -X- _ O
sidewalk -X- _ O
para -X- _ O
sa -X- _ O
mga -X- _ O
tawo. -X- _ O
Ikaw -X- _ O
mag -X- _ O
lakaw -X- _ O
ma -X- _ O
pugus -X- _ O
nalang -X- _ O
kag -X- _ O
agi -X- _ O
sa -X- _ O
dalan -X- _ O
nga -X- _ O
daghan -X- _ O
sakyanan -X- _ O
mu -X- _ O
agi. -X- _ O
Lisod -X- _ O
kaau -X- _ O
ning -X- _ O
kahimtan -X- _ O
sa -X- _ O
Dumaguete -X- _ B-LOC
nga -X- _ O
mas -X- _ O
pabor -X- _ O
nila -X- _ O
ning -X- _ O
mga -X- _ O
4 -X- _ O
wheels -X- _ O
kaysa -X- _ O
mga -X- _ O
tawo. -X- _ O
Daghang -X- _ O
4wheels -X- _ O
nga -X- _ O
entitled -X- _ O
kaau -X- _ O
, -X- _ O
abi -X- _ O
naka -X- _ O
sakyanan -X- _ O
wala -X- _ O
nay -X- _ O
paghuna -X- _ O
sa -X- _ O
mga -X- _ O
tig -X- _ O
lakaw. -X- _ O
Wala -X- _ O
najud -X- _ O
hope -X- _ O
ning -X- _ O
systema -X- _ O
sa -X- _ O
dumaguete -X- _ B-LOC
admin -X- _ O
? -X- _ O

Pang -X- _ O
awareness -X- _ O
sa -X- _ O
tanan -X- _ O
kay -X- _ O
diha -X- _ O
paraba -X- _ O
mu -X- _ O
lihok -X- _ O
ang -X- _ O
LGU -X- _ B-ORG
naa -X- _ O
nay -X- _ O
ma -X- _ O
accidente -X- _ O
. -X- _ O

Mura -X- _ O
nata -X- _ O
tag -X- _ O
amerika -X- _ B-LOC
karon. -X- _ O
Dile -X- _ O
safe -X- _ O
ang -X- _ O
mga -X- _ O
schools -X- _ O
. -X- _ O

Hit -X- _ O
and -X- _ O
run -X- _ O
incident -X- _ O
by -X- _ O
a -X- _ O
NO -X- _ O
PLATE -X- _ O
BLUE -X- _ O
HONDA -X- _ B-MISC
CLICK -X- _ I-MISC
TWO -X- _ O
ladies -X- _ O
riding -X- _ O
in -X- _ O
tandemWhen -X- _ O
: -X- _ O
March -X- _ O
1 -X- _ O
, -X- _ O
2023 -X- _ O
- -X- _ O
5pmWhere -X- _ O
: -X- _ O
Brgy. -X- _ B-LOC
Motong -X- _ I-LOC
, -X- _ O
( -X- _ O
along -X- _ O
2bil -X- _ B-LOC
Gas -X- _ I-LOC
station -X- _ I-LOC
going -X- _ O
to -X- _ O
corner -X- _ O
EJ -X- _ B-LOC
Blanco -X- _ I-LOC
) -X- _ O
Among -X- _ O
white -X- _ O
Xpander -X- _ B-MISC
ilang -X- _ O
nabundol -X- _ O
sa -X- _ O
likod. -X- _ O
Ganahan -X- _ O
rata -X- _ O
namo -X- _ O
nga -X- _ O
bsag -X- _ O
mameet -X- _ O
ra -X- _ O
sila -X- _ O
and -X- _ O
maaccountable -X- _ O
sila -X- _ O
sa -X- _ O
damage -X- _ O
ky -X- _ O
pwd -X- _ O
raman -X- _ O
ta -X- _ O
to -X- _ O
sabutan -X- _ O
niikyas -X- _ O
lng -X- _ O
gyud -X- _ O
sila -X- _ O
basin -X- _ O
walai -X- _ O
rehistro -X- _ O
or -X- _ O
license. -X- _ O
Wala -X- _ O
actually -X- _ O
nakuha -X- _ O
sa -X- _ O
cctv -X- _ O
ang -X- _ O
mismong -X- _ O
incident -X- _ O
pero -X- _ O
naidentify -X- _ O
sila -X- _ O
namo -X- _ O
and -X- _ O
sa -X- _ O
mga -X- _ O
resident -X- _ O
didto -X- _ O
nga -X- _ O
area -X- _ O
during -X- _ O
the -X- _ O
incident. -X- _ O
Mao -X- _ O
natrace -X- _ O
lng -X- _ O
namo -X- _ O
sa -X- _ O
cctv -X- _ O
nga -X- _ O
niliko -X- _ O
na -X- _ O
sila -X- _ O
sa -X- _ O
EJ -X- _ B-LOC
Blanco -X- _ I-LOC
since -X- _ O
nakita -X- _ O
pud -X- _ O
nko -X- _ O
ilang -X- _ O
palakaw -X- _ O
after -X- _ O
nakadasmag -X- _ O
sa -X- _ O
among -X- _ O
likod. -X- _ O
Ang -X- _ O
kuha -X- _ O
sa -X- _ O
cctv -X- _ O
is -X- _ O
kana -X- _ O
lng -X- _ O
nihunong -X- _ O
sila -X- _ O
sa -X- _ O
may -X- _ O
Dela -X- _ B-LOC
Vena -X- _ I-LOC
corner -X- _ I-LOC
EJ -X- _ I-LOC
Blanco -X- _ I-LOC
sa -X- _ O
may -X- _ O
tindahan -X- _ O
sa -X- _ O
kilid -X- _ O
after -X- _ O
few -X- _ O
minutes -X- _ O
nilakaw -X- _ O
sila -X- _ O
padayun -X- _ O
EJ -X- _ B-LOC
Blanco. -X- _ I-LOC
Ipaadto -X- _ O
lng -X- _ O
sila -X- _ O
sa -X- _ O
police -X- _ O
station -X- _ O
ky -X- _ O
nakablotter -X- _ O
nana -X- _ O
and -X- _ O
ang -X- _ O
police -X- _ O
ra -X- _ O
mucommunicate -X- _ O
sa -X- _ O
amo -X- _ O
to -X- _ O
meet -X- _ O
them.by -X- _ O
April -X- _ O
1 -X- _ O
dli -X- _ O
pa -X- _ O
sila -X- _ O
muapproach -X- _ O
sa -X- _ O
amoa -X- _ O
or -X- _ O
sa -X- _ O
police -X- _ O
station -X- _ O
, -X- _ O
mufile -X- _ O
nami -X- _ O
ug -X- _ O
kaso. -X- _ O
Since -X- _ O
na -X- _ O
identify -X- _ O
na -X- _ O
namo -X- _ O
ilang -X- _ O
identity -X- _ O
thru -X- _ O
additional -X- _ O
cctv -X- _ O
footage -X- _ O
and -X- _ O
eyewitnesses -X- _ O
sa -X- _ O
mismong -X- _ O
incident. -X- _ O
Trivia -X- _ O
lng -X- _ O
, -X- _ O
we -X- _ O
know -X- _ O
nga -X- _ O
mother -X- _ O
n -X- _ O
daughter -X- _ O
sila -X- _ O
. -X- _ O

U-turn -X- _ O
is -X- _ O
da -X- _ O
keyPH -X- _ B-ORG
ARMY -X- _ I-ORG
, -X- _ O
NAGPADALA -X- _ O
OG -X- _ O
DUGANG -X- _ O
NGA -X- _ O
TROPA -X- _ O
SA -X- _ O
NEGOR -X- _ B-LOC
HUMAN -X- _ O
SA -X- _ O
PAGPATAY -X- _ O
NI -X- _ O
GOV. -X- _ O
ROEL -X- _ B-PER
DEGAMOUnom -X- _ I-PER
ka -X- _ O
batalyon -X- _ O
sa -X- _ O
Philippine -X- _ B-ORG
Army -X- _ I-ORG
ang -X- _ O
gipadala -X- _ O
sa -X- _ O
Negros -X- _ B-LOC
Oriental -X- _ I-LOC
niadtong -X- _ O
Domiggo -X- _ O
, -X- _ O
usa -X- _ O
ka -X- _ O
semana -X- _ O
ang -X- _ O
nilabay -X- _ O
human -X- _ O
sa -X- _ O
pagpatay -X- _ O
ni -X- _ O
kanhi -X- _ O
Gov. -X- _ O
Roel -X- _ B-PER
Degamo.Gilangkuban -X- _ I-PER
ang -X- _ O
mga -X- _ O
tropa -X- _ O
sa -X- _ O
11th -X- _ O
, -X- _ O
94th -X- _ O
, -X- _ O
79th -X- _ O
, -X- _ O
62nd -X- _ O
, -X- _ O
15th -X- _ O
, -X- _ O
ug -X- _ O
47th -X- _ O
Infantry -X- _ O
Battalions.Ipakatap -X- _ O
ang -X- _ O
mga -X- _ O
personahe -X- _ O
sa -X- _ O
kasundalohan -X- _ O
sa -X- _ O
ikaduha -X- _ O
ug -X- _ O
ikatulo -X- _ O
nga -X- _ O
distrito -X- _ O
sa -X- _ O
Negros -X- _ B-LOC
Oriental -X- _ I-LOC
isip -X- _ O
parte -X- _ O
sa -X- _ O
pagpaningkamot -X- _ O
sa -X- _ O
gobyerno -X- _ O
nga -X- _ O
pakusgan -X- _ O
ang -X- _ O
joint -X- _ O
law -X- _ O
enforcement -X- _ O
operations -X- _ O
uban -X- _ O
Philippine -X- _ B-ORG
National -X- _ I-ORG
Police -X- _ I-ORG
( -X- _ O
PNP -X- _ B-ORG
) -X- _ O
sa -X- _ O
probinsya.Sumala -X- _ O
pa -X- _ O
ni -X- _ O
AFP -X- _ B-ORG
Visayas -X- _ I-ORG
Command -X- _ I-ORG
( -X- _ O
VISCOM -X- _ B-ORG
) -X- _ O
Commander -X- _ O
Lt. -X- _ O
Gen. -X- _ O
Benedict -X- _ B-PER
Arevalo -X- _ I-PER
, -X- _ O
makigtinabangay -X- _ O
sa -X- _ O
PNP -X- _ B-ORG
ang -X- _ O
mga -X- _ O
gipadala -X- _ O
nga -X- _ O
tropa -X- _ O
aron -X- _ O
masikop -X- _ O
ang -X- _ O
mga -X- _ O
nipatay -X- _ O
ni -X- _ O
Degamo -X- _ B-PER
ug -X- _ O
sa -X- _ O
uban -X- _ O
pang -X- _ O
mga -X- _ O
biktima -X- _ O
nga -X- _ O
wala -X- _ O
pa -X- _ O
nadakpan.with -X- _ O
reports -X- _ O
from -X- _ O
ABS-CBN -X- _ O
NewsDenniz -X- _ O
Futalan -X- _ O

# -X- _ O
dumasharesGihatod -X- _ O
na -X- _ O
sa -X- _ O
iyang -X- _ O
hometown -X- _ O
sa -X- _ O
Bonawon -X- _ B-LOC
, -X- _ I-LOC
Siaton -X- _ I-LOC
ang -X- _ O
patayng -X- _ O
lawas -X- _ O
ni -X- _ O
anhing -X- _ O
Governor -X- _ O
Roel -X- _ B-PER
Degamo. -X- _ I-PER
Samtang -X- _ O
gihatod -X- _ O
kini -X- _ O
didto -X- _ O
, -X- _ O
nanggawas -X- _ O
ang -X- _ O
mga -X- _ O
residente -X- _ O
sa -X- _ O
mga -X- _ O
lungsod -X- _ O
